subscription_id,user_id,plan_type,revenue,start_date
1,8745,Monthly,50,2023-07-20
2,14259,Quarterly,120,2024-07-23
3,27936,Quarterly,400,2024-05-02
4,10538,Quarterly,120,2024-02-28
5,12994,Monthly,50,2024-04-14
6,16292,Yearly,120,2023-01-24
7,14014,Yearly,50,2023-07-13
8,1106,Quarterly,50,2023-04-19
9,1374,Quarterly,50,2023-07-17
10,25950,Quarterly,400,2024-02-19
11,19191,Monthly,50,2024-04-01
12,30523,Monthly,120,2024-01-19
13,9785,Quarterly,120,2023-11-12
14,18425,Monthly,50,2024-08-14
15,8742,Yearly,120,2024-04-04
16,26062,Yearly,50,2023-03-28
17,17216,Yearly,50,2023-03-04
18,14354,Yearly,50,2023-03-06
19,24272,Quarterly,50,2024-07-28
20,11059,Monthly,50,2023-01-18
21,25042,Monthly,50,2024-07-01
22,15346,Quarterly,50,2024-07-18
23,10997,Quarterly,120,2023-07-18
24,15328,Yearly,,2023-01-28
25,5854,Monthly,120,2023-08-04
26,21160,Quarterly,50,2023-02-12
27,1964,Yearly,120,2023-10-18
28,22664,Quarterly,400,2023-04-20
29,17698,Monthly,50,2023-11-07
30,18466,Quarterly,400,2024-04-25
31,9137,Quarterly,400,2024-07-05
32,7611,Quarterly,400,2023-03-30
33,29902,Yearly,50,2023-01-27
34,29432,Monthly,50,2023-01-23
35,5521,Monthly,120,2024-06-26
36,14983,Quarterly,50,2024-07-29
37,14108,Monthly,400,2023-10-21
38,26658,Yearly,50,2023-06-30
39,8975,Quarterly,50,2024-08-04
40,25965,Monthly,400,2023-08-23
41,7299,Yearly,50,2023-08-01
42,17514,Quarterly,50,2024-04-10
43,23130,Yearly,400,2024-07-01
44,26368,Yearly,120,2023-06-13
45,2882,Monthly,120,2023-10-03
46,28993,Yearly,400,2024-01-27
47,23466,Yearly,120,2023-05-23
48,18862,Monthly,120,2023-08-01
49,21744,Quarterly,,2023-08-04
50,12164,Quarterly,120,2024-04-29
51,16011,Yearly,400,2023-11-01
52,18766,Monthly,50,2024-04-16
53,4828,Monthly,50,2024-04-14
54,29485,Yearly,400,2024-06-29
55,26251,Yearly,50,2023-09-12
56,12628,Quarterly,50,2023-09-04
57,5304,Monthly,120,2024-08-07
58,18075,Quarterly,50,2023-12-25
59,3348,Yearly,50,2024-03-30
60,1082,Quarterly,120,2023-10-03
61,4948,Quarterly,400,2023-08-16
62,1621,Monthly,50,2023-11-27
63,24259,Quarterly,400,2023-10-29
64,22571,Quarterly,400,2023-03-05
65,3907,Monthly,120,2024-03-25
66,12993,Yearly,50,2023-02-10
67,25007,Yearly,120,2023-02-10
68,1454,Yearly,400,2024-08-13
69,26581,Quarterly,400,2023-02-09
70,13290,Monthly,120,2023-11-12
71,14956,Monthly,400,2024-03-13
72,22760,Quarterly,50,2023-10-06
73,15942,Yearly,120,2023-09-19
74,9327,Monthly,400,2023-09-08
75,12426,Yearly,120,2023-06-19
76,19757,Quarterly,50,2024-03-07
77,6593,Yearly,120,2024-06-07
78,10203,Quarterly,400,2023-08-31
79,17610,Yearly,50,2023-01-21
80,27287,Yearly,400,2023-06-05
81,27365,Quarterly,50,2023-08-01
82,25918,Yearly,400,2024-01-06
83,4565,Yearly,120,2023-02-24
84,16684,Yearly,50,2024-06-10
85,28520,Quarterly,120,2023-05-09
86,12188,Quarterly,50,2023-10-05
87,20085,Quarterly,50,2023-01-08
88,20166,Yearly,400,2023-11-28
89,1719,Yearly,120,2024-07-16
90,22142,Monthly,120,2023-06-13
91,25343,Quarterly,50,2024-08-08
92,22046,Quarterly,400,2023-05-15
93,21264,Yearly,50,2023-07-14
94,19942,Quarterly,120,2024-07-22
95,6193,Monthly,400,2023-08-06
96,29528,Monthly,120,2023-09-28
97,26103,Monthly,400,2024-07-21
98,15483,Yearly,120,2023-01-23
99,30581,Yearly,120,2024-08-01
100,8355,Yearly,50,2024-05-21
101,6244,Yearly,400,2023-08-04
102,9492,Yearly,50,2023-05-29
103,11031,Yearly,120,2023-09-01
104,4221,Monthly,400,2023-10-07
105,16896,Quarterly,120,2023-06-16
106,17882,Quarterly,50,2024-06-27
107,19351,Yearly,50,2024-02-26
108,22225,Monthly,,2024-05-01
109,7230,Monthly,120,2023-11-26
110,27341,Quarterly,400,2024-04-30
111,5097,Yearly,400,2024-05-11
112,30050,Quarterly,120,2023-06-20
113,17270,Quarterly,50,2023-10-11
114,29015,Monthly,120,2023-05-28
115,23458,Yearly,50,2024-04-19
116,12205,Monthly,50,2024-05-24
117,2807,Yearly,50,2024-07-21
118,30037,Yearly,,2024-06-29
119,16190,Yearly,400,2024-03-29
120,14311,Yearly,,2023-01-30
121,19779,Yearly,400,2023-03-22
122,6856,Yearly,,2024-02-14
123,2331,Monthly,120,2024-05-26
124,25110,Monthly,120,2023-06-14
125,4621,Monthly,50,2023-09-16
126,30283,Yearly,120,2024-05-25
127,3410,Monthly,400,2024-05-07
128,14610,Quarterly,120,2023-01-23
129,16994,Quarterly,50,2023-12-04
130,24816,Monthly,400,2023-02-01
131,2316,Quarterly,400,2023-08-03
132,27138,Quarterly,120,2024-07-01
133,20145,Yearly,,2023-05-02
134,35,Yearly,120,2023-06-29
135,5131,Monthly,400,2023-03-31
136,6728,Yearly,50,2023-11-01
137,25405,Quarterly,50,2024-07-07
138,8637,Quarterly,400,2023-06-21
139,29245,Quarterly,50,2023-04-27
140,27409,Yearly,400,2023-01-26
141,8318,Monthly,120,2024-02-15
142,18879,Yearly,120,2023-11-29
143,15733,Monthly,120,2023-06-02
144,11342,Yearly,50,2023-12-12
145,5488,Yearly,120,2024-05-17
146,6092,Quarterly,50,2024-07-15
147,21497,Monthly,400,2024-03-22
148,19962,Yearly,400,2024-07-02
149,1432,Monthly,400,2023-03-13
150,18469,Quarterly,50,2023-04-26
151,12290,Monthly,50,2024-05-28
152,3834,Yearly,50,2023-07-10
153,26338,Yearly,50,2024-05-17
154,7892,Monthly,50,2023-07-25
155,24946,Quarterly,120,2023-04-13
156,10974,Monthly,120,2024-05-26
157,29433,Quarterly,50,2024-04-18
158,8090,Yearly,,2023-10-14
159,13851,Quarterly,50,2024-06-12
160,6176,Quarterly,120,2024-03-26
161,12512,Yearly,400,2024-04-15
162,20940,Yearly,50,2024-05-01
163,19145,Monthly,400,2023-12-08
164,10145,Quarterly,120,2024-05-10
165,30209,Quarterly,400,2023-03-01
166,8758,Yearly,50,2024-05-11
167,27083,Quarterly,50,2023-06-11
168,7963,Quarterly,400,2023-05-31
169,11896,Quarterly,50,2023-10-28
170,3905,Yearly,400,2023-05-26
171,5593,Yearly,,2023-01-31
172,15689,Monthly,50,2023-08-23
173,1241,Yearly,50,2024-06-24
174,24365,Yearly,50,2023-09-26
175,18654,Yearly,50,2024-04-06
176,15069,Quarterly,50,2024-02-08
177,29530,Monthly,50,2023-09-30
178,27170,Monthly,50,2023-12-31
179,2711,Yearly,50,2024-03-16
180,26802,Monthly,400,2023-05-29
181,16050,Yearly,120,2023-06-11
182,132,Monthly,50,2024-04-02
183,18842,Monthly,50,2024-07-16
184,26893,Monthly,400,2024-07-07
185,5607,Quarterly,400,2024-08-10
186,134,Monthly,50,2023-07-17
187,8019,Monthly,50,2024-04-09
188,19573,Quarterly,120,2024-05-11
189,23864,Quarterly,400,2024-07-01
190,6355,Quarterly,50,2023-06-16
191,5161,Yearly,,2024-02-04
192,9972,Yearly,400,2024-04-02
193,6998,Monthly,,2023-04-12
194,20669,Yearly,400,2023-06-30
195,16289,Monthly,50,2024-04-29
196,16276,Monthly,50,2023-12-05
197,20372,Yearly,400,2023-02-03
198,28154,Monthly,400,2023-03-25
199,26361,Yearly,400,2023-08-10
200,29369,Quarterly,120,2024-01-06
201,4260,Yearly,120,2023-02-01
202,30093,Yearly,400,2024-03-24
203,9492,Quarterly,50,2023-07-08
204,6026,Quarterly,400,2024-07-30
205,13869,Monthly,120,2023-06-04
206,27275,Yearly,120,2023-09-08
207,11511,Monthly,50,2024-02-17
208,17077,Yearly,50,2024-07-24
209,21818,Quarterly,120,2024-03-07
210,2353,Monthly,50,2024-06-17
211,9300,Quarterly,120,2023-06-05
212,14269,Quarterly,400,2024-02-02
213,18267,Monthly,120,2024-05-07
214,16942,Monthly,,2023-01-20
215,6677,Quarterly,,2023-10-24
216,14894,Quarterly,400,2023-05-17
217,3667,Monthly,50,2024-01-25
218,7415,Yearly,50,2023-12-05
