user_id,country,grade,device_type,signup_date
1,Egypt,Grade 11,,2023-01-15
2,,Grade 9,Tablet,2023-12-05
3,KSA,Grade 12,Tablet,2023-09-14
4,KSA,Grade 7,Desktop,2024-04-01
5,Egypt,Grade 12,Mobile,2024-06-14
6,Egypt,Grade 11,Mobile,2023-03-28
7,Egypt,Grade 11,Mobile,2023-11-26
8,UAE,Grade 11,,2024-07-11
9,KSA,Grade 10,Tablet,2023-12-05
10,KSA,Grade 10,Desktop,2023-08-14
11,Egypt,Grade 11,Mobile,2024-04-18
12,,Grade 11,Desktop,2024-07-07
13,UAE,Grade 7,Mobile,2024-07-18
14,Egypt,Grade 7,Mobile,2023-11-02
15,Egypt,Grade 9,Desktop,2024-04-28
16,Egypt,,,2024-08-16
17,Egypt,Grade 9,Desktop,2024-01-14
18,Egypt,Grade 10,Desktop,2024-01-14
19,Egypt,Grade 8,,2024-04-07
20,Egypt,Grade 7,,2023-07-07
21,KSA,Grade 9,Desktop,2023-10-07
22,Egypt,,,2023-10-17
23,Egypt,,Mobile,2024-06-16
24,Egypt,Grade 7,,2023-06-22
25,Egypt,Grade 7,Desktop,2023-07-10
26,KSA,Grade 12,,2023-03-16
27,Egypt,Grade 8,Tablet,2023-02-18
28,Egypt,Grade 7,,2023-09-08
29,KSA,Grade 12,Mobile,2024-07-25
30,Egypt,,Tablet,2024-07-16
31,KSA,Grade 8,Mobile,2023-05-30
32,Egypt,,Mobile,2023-05-08
33,Egypt,Grade 12,Tablet,2023-11-08
34,UAE,,Mobile,2024-04-27
35,,Grade 12,Tablet,2023-11-19
36,UAE,Grade 8,Mobile,2023-07-01
37,Egypt,Grade 7,Desktop,2023-02-14
38,Egypt,Grade 7,Mobile,2023-02-26
39,KSA,Grade 9,Tablet,2023-10-15
40,Egypt,Grade 7,Desktop,2023-01-28
41,Egypt,,Desktop,2024-02-09
42,Egypt,Grade 7,,2023-03-20
43,Egypt,Grade 7,,2023-07-12
44,UAE,Grade 9,,2023-11-28
45,Egypt,Grade 8,Desktop,2023-12-27
46,KSA,Grade 9,,2024-06-21
47,Egypt,,Desktop,2023-11-03
48,Egypt,,,2024-05-17
49,Egypt,Grade 7,Mobile,2023-12-03
50,Egypt,Grade 11,,2023-01-20
51,,Grade 7,Tablet,2024-03-01
