view_id,user_id,video_id,watch_time_min,completed,view_date
1,5574,448,52,Yes,2024-03-26
2,13758,1986,52,Yes,2024-06-07
3,26520,1931,12,Yes,2023-03-22
4,9780,1020,49,No,2023-04-02
5,22096,1846,7,,2023-01-01
6,12535,1151,41,,2024-01-11
7,29413,289,59,No,2024-07-06
8,4292,1057,40,No,2023-03-22
9,13053,448,36,Yes,2023-03-31
10,12284,671,32,Yes,2023-12-21
11,16914,1905,18,,2023-06-09
12,14953,307,40,No,2023-01-07
13,37,1739,53,Yes,2024-03-02
14,21067,471,42,Yes,2023-09-22
15,23501,563,50,Yes,2023-03-17
16,21766,1843,37,Yes,2024-02-15
17,4129,1256,40,Yes,2023-08-13
18,29220,1757,53,No,2024-03-14
19,4335,1405,11,Yes,2023-07-19
20,18015,1683,59,Yes,2024-01-30
21,26292,1057,58,Yes,2023-07-30
22,23954,1857,34,Yes,2023-08-05
23,17809,1517,66,Yes,2023-07-02
24,26249,339,43,Yes,2024-05-30
25,29263,413,56,No,2023-05-19
26,20253,1850,57,,2023-12-18
27,12420,30,7,,2024-03-23
28,21720,970,57,No,2024-03-30
29,24011,497,25,No,2023-09-21
30,21720,1611,63,No,2023-09-23
31,18028,5,38,Yes,2023-08-29
32,4492,1060,3,Yes,2023-08-15
33,12990,1457,53,,2024-07-09
34,23199,1789,15,Yes,2023-10-15
35,31940,451,40,No,2024-01-04
36,1836,1690,43,No,2023-10-22
37,5396,1628,30,Yes,2024-04-19
38,18950,1703,6,Yes,2024-06-27
39,10541,1695,21,Yes,2024-01-04
40,18117,2019,34,Yes,2024-04-25
41,3643,901,51,Yes,2024-02-25
42,6030,1943,9,Yes,2023-11-12
43,30415,1634,32,Yes,2023-03-06
44,16465,2005,53,No,2024-07-22
45,15695,435,51,Yes,2024-05-11
46,27929,2000,21,Yes,2024-07-16
47,20587,665,32,Yes,2023-01-20
48,24182,135,69,Yes,2023-06-24
49,29838,968,5,No,2023-11-03
50,26972,250,39,Yes,2023-07-14
51,16826,1026,30,Yes,2023-01-09
52,28575,2006,1,Yes,2023-05-22
53,7533,450,55,Yes,2024-04-14
54,10651,2037,23,No,2023-11-15
55,20521,1990,33,Yes,2024-07-13
56,9652,1092,56,No,2023-09-06
57,17588,279,61,No,2023-06-24
58,17918,1048,6,No,2024-01-14
59,16164,302,30,Yes,2023-09-20
60,2768,1568,62,Yes,2024-01-17
61,946,28,22,No,2024-05-22
62,25443,245,,No,2023-06-24
63,20429,1895,49,Yes,2023-02-18
64,30613,1166,17,Yes,2024-02-03
65,14845,502,54,Yes,2023-04-06
66,17583,766,66,Yes,2023-05-12
67,5908,1066,46,Yes,2023-08-24
68,9969,1099,26,No,2023-10-27
69,24136,905,54,,2024-03-18
70,13428,1830,43,Yes,2023-05-26
71,10708,1210,19,Yes,2024-03-03
72,24224,590,46,Yes,2024-01-25
73,28791,1600,24,Yes,2023-01-15
74,7814,463,39,Yes,2023-02-06
75,8782,423,7,Yes,2023-03-16
76,24738,504,,Yes,2024-04-12
77,22436,1721,46,No,2023-09-11
78,25292,1711,68,Yes,2023-06-01
79,28706,141,4,Yes,2023-05-26
80,20496,605,25,No,2024-05-31
81,7596,322,47,Yes,2023-03-21
82,2339,1642,68,Yes,2023-06-13
83,14267,1529,5,Yes,2023-05-18
84,2795,1199,29,No,2024-04-20
85,1338,270,7,Yes,2024-01-17
86,31734,1644,27,No,2024-01-31
87,12237,1918,57,No,2023-06-03
88,21275,983,2,No,2024-07-05
89,31657,1240,62,Yes,2023-06-10
90,24606,440,51,Yes,2023-04-28
91,1441,1024,23,Yes,2023-07-26
92,6884,1148,55,No,2023-08-10
93,18784,1688,51,No,2024-01-19
94,8654,1242,17,Yes,2023-07-14
95,19504,1956,,Yes,2023-10-01
96,26472,1346,5,Yes,2024-02-17
